

"項目","単価","数量","金額",
"販売価格","885","-","-",
"製造指示","-","100","-",
"材料調達","-","100","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"パン完成数","-","100","-",
"来店者数","-","97","-",
"パン販売数","-","97","-",
"売上高","-","-","85845",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"パン品切数","-","0","-",
"パン廃棄数","-","3","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"明日の朝の材料在庫数","-","100","-",
"明日の朝の材料納入数","-","100","-",
"明日の朝に完成するパンの数","-","100","-",


